name,part1,part2,part3,part4,part5,part6,part7,part8
BCW_blanksub_111425,BCW,blanksub,111425,,,,,
BDNA_blanksub_111425,BDNA,blanksub,111425,,,,,
BProt_blanksub_111425,BProt,blanksub,111425,,,,,
DCW_blanksub_111425,DCW,blanksub,111425,,,,,
DDNA_blanksub_111425,DDNA,blanksub,111425,,,,,
DProt_blanksub_111425,DProt,blanksub,111425,,,,,
Data_BlankSub_Graph_S1_B41_CW,Data,BlankSub,Graph,S1,B41,CW,,
Data_BlankSub_Graph_S1_B41_DNA,Data,BlankSub,Graph,S1,B41,DNA,,
Data_BlankSub_Graph_S1_B41_proteins,Data,BlankSub,Graph,S1,B41,proteins,,
Data_BlankSub_Graph_S1_D06B_CW,Data,BlankSub,Graph,S1,D06B,CW,,
Data_BlankSub_Graph_S1_D06B_DNA,Data,BlankSub,Graph,S1,D06B,DNA,,
Data_BlankSub_Graph_S1_D06B_lipids,Data,BlankSub,Graph,S1,D06B,lipids,,
Data_BlankSub_Graph_S1_D06B_proteins,Data,BlankSub,Graph,S1,D06B,proteins,,
Data_BlankSub_Graph_S1_T0_fresh_arthro1,Data,BlankSub,Graph,S1,T0,fresh,arthro1,
Data_BlankSub_Graph_S1_T0_fresh_pseudo_redo,Data,BlankSub,Graph,S1,T0,fresh,pseudo,redo
Data_BlankSub_Graph_S1_T0_recyc_arthro1,Data,BlankSub,Graph,S1,T0,recyc,arthro1,
Data_BlankSub_Graph_S1_T0_recyc_pseudo1,Data,BlankSub,Graph,S1,T0,recyc,pseudo1,
Data_BlankSub_Graph_S1_T1_fresh_arthro1,Data,BlankSub,Graph,S1,T1,fresh,arthro1,
Data_BlankSub_Graph_S1_T1_fresh_arthro1_ana,Data,BlankSub,Graph,S1,T1,fresh,arthro1,ana
Data_BlankSub_Graph_S1_T1_fresh_pseudo1_aer,Data,BlankSub,Graph,S1,T1,fresh,pseudo1,aer
Data_BlankSub_Graph_S1_T1_fresh_pseudo1_ana,Data,BlankSub,Graph,S1,T1,fresh,pseudo1,ana
Data_BlankSub_Graph_S1_T1_recyc_arthro1_aer,Data,BlankSub,Graph,S1,T1,recyc,arthro1,aer
Data_BlankSub_Graph_S1_T1_recyc_arthro1_ana,Data,BlankSub,Graph,S1,T1,recyc,arthro1,ana
Data_BlankSub_Graph_S1_T1_recyc_pseudo1_aer,Data,BlankSub,Graph,S1,T1,recyc,pseudo1,aer
Data_BlankSub_Graph_S1_T1_recyc_pseudo1_ana,Data,BlankSub,Graph,S1,T1,recyc,pseudo1,ana
Data_BlankSub_Graph_S1_T2_fresh_arthro_aer,Data,BlankSub,Graph,S1,T2,fresh,arthro,aer
Data_BlankSub_Graph_S1_T2_fresh_pseudo_aer,Data,BlankSub,Graph,S1,T2,fresh,pseudo,aer
Data_BlankSub_Graph_S1_T2_recyc_arthro_aer,Data,BlankSub,Graph,S1,T2,recyc,arthro,aer
Data_BlankSub_Graph_S1_T2_recyc_pseudo_aer,Data,BlankSub,Graph,S1,T2,recyc,pseudo,aer
Data_BlankSub_Graph_S1_T4_fresh_arthro_ana,Data,BlankSub,Graph,S1,T4,fresh,arthro,ana
Data_BlankSub_Graph_S1_T4_recyc_arthro_ana,Data,BlankSub,Graph,S1,T4,recyc,arthro,ana
Data_BlankSub_Graph_S1_T4_recyc_pseudo_ana,Data,BlankSub,Graph,S1,T4,recyc,pseudo,ana
Data_BlankSub_Graph_S1_T5_fresh_arthro1_aer,Data,BlankSub,Graph,S1,T5,fresh,arthro1,aer
Data_BlankSub_Graph_S1_T5_fresh_arthro1_ana,Data,BlankSub,Graph,S1,T5,fresh,arthro1,ana
Data_BlankSub_Graph_S1_T5_fresh_pseudo1_aer,Data,BlankSub,Graph,S1,T5,fresh,pseudo1,aer
Data_BlankSub_Graph_S1_T5_fresh_pseudo1_ana,Data,BlankSub,Graph,S1,T5,fresh,pseudo1,ana
Data_BlankSub_Graph_S1_T5_recyc_arthro1_aer,Data,BlankSub,Graph,S1,T5,recyc,arthro1,aer
Data_BlankSub_Graph_S1_T5_recyc_arthro1_ana,Data,BlankSub,Graph,S1,T5,recyc,arthro1,ana
Data_BlankSub_Graph_S1_T5_recyc_pseudo1_aer,Data,BlankSub,Graph,S1,T5,recyc,pseudo1,aer
Data_BlankSub_Graph_S1_T5_recyc_pseudo1_ana,Data,BlankSub,Graph,S1,T5,recyc,pseudo1,ana
Data_BlankSub_Graph_S1_t4_fresh_pseudo_ana,Data,BlankSub,Graph,S1,t4,fresh,pseudo,ana
